kafka1-1  | [2026-03-17 04:56:35,683] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Member f8578833-ee7c-48fa-bc79-d68f5abe8f87 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:35,683] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Bumped group epoch to 9 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:35,684] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Computed a new target assignment for epoch 9 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:36,659] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Member e965cd09-7f93-4063-a9c4-530b1023273e joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:36,659] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Bumped group epoch to 10 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:36,659] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Computed a new target assignment for epoch 10 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:36,769] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=41] [GroupId A7C1_SimulatorGroup5] Member 00696e8f-e6bd-429b-b2a7-4a054d6d0e3d joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:36,769] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=41] [GroupId A7C1_SimulatorGroup5] Bumped group epoch to 6 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:36,769] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=41] [GroupId A7C1_SimulatorGroup5] Computed a new target assignment for epoch 6 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:40,158] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=44] [GroupId E61E_SimulatorGroup3] Member f3a273be-f5df-4255-9064-c63d46688877 left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
