kafka2-1  | [2026-03-17 05:57:46,504] INFO [LocalLog partition=F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-3, dir=/tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-3] Deleting segment files LogSegment(baseOffset=0, size=25941, lastModifiedTime=1773723399234, largestRecordTimestamp=1773723398623) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:46,504] INFO Deleted log /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-3/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,504] INFO Deleted offset index /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-3/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,504] INFO Deleted time index /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-3/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,505] INFO [LocalLog partition=F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-2, dir=/tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-2] Deleting segment files LogSegment(baseOffset=0, size=33201, lastModifiedTime=1773723399233, largestRecordTimestamp=1773723398623) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:46,505] INFO Deleted log /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-2/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,505] INFO Deleted offset index /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-2/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,505] INFO Deleted time index /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-2/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,506] INFO [LocalLog partition=737CB1B5A37E9DFA7F674D2E48E30FB6A64C88D633EEB92315443955A4DF-2, dir=/tmp/kafka-logs/737CB1B5A37E9DFA7F674D2E48E30FB6A64C88D633EEB92315443955A4DF-2] Deleting segment files LogSegment(baseOffset=0, size=214015, lastModifiedTime=1773723398226, largestRecordTimestamp=1773723398226) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:46,506] INFO Deleted log /tmp/kafka-logs/737CB1B5A37E9DFA7F674D2E48E30FB6A64C88D633EEB92315443955A4DF-2/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,506] INFO Deleted offset index /tmp/kafka-logs/737CB1B5A37E9DFA7F674D2E48E30FB6A64C88D633EEB92315443955A4DF-2/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,506] INFO Deleted time index /tmp/kafka-logs/737CB1B5A37E9DFA7F674D2E48E30FB6A64C88D633EEB92315443955A4DF-2/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,507] INFO [LocalLog partition=737CB1B5A37E9DFA7F674D2E48E30FB6A64C88D633EEB92315443955A4DF-3, dir=/tmp/kafka-logs/737CB1B5A37E9DFA7F674D2E48E30FB6A64C88D633EEB92315443955A4DF-3] Deleting segment files LogSegment(baseOffset=0, size=229488, lastModifiedTime=1773723400333, largestRecordTimestamp=1773723399397) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:46,507] INFO Deleted log /tmp/kafka-logs/737CB1B5A37E9DFA7F674D2E48E30FB6A64C88D633EEB92315443955A4DF-3/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,507] INFO Deleted offset index /tmp/kafka-logs/737CB1B5A37E9DFA7F674D2E48E30FB6A64C88D633EEB92315443955A4DF-3/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,507] INFO Deleted time index /tmp/kafka-logs/737CB1B5A37E9DFA7F674D2E48E30FB6A64C88D633EEB92315443955A4DF-3/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,508] INFO [LocalLog partition=F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-8, dir=/tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-8] Deleting segment files LogSegment(baseOffset=0, size=36886, lastModifiedTime=1773723400399, largestRecordTimestamp=1773723398623) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:46,508] INFO Deleted log /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-8/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
