kafka1-1  | [2026-03-17 17:16:28,895] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 14B5_SimulatorGroup1] Bumped group epoch to 12 with metadata hash 0. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 17:16:29,787] INFO [ReplicaFetcherManager on broker 4] Removed fetcher for partitions Set(7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-8, 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-6, 14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-1, 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-2, 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-4, 08014DEDB60E9C22E71B2C38A3C3114BCDE9B3832519AC83FBED00618263-6, 0F318C9B85CD1108E629A5208DC18438B638580844F72A5F34CE1A14D3A5-1, 08014DEDB60E9C22E71B2C38A3C3114BCDE9B3832519AC83FBED00618263-4, 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-3, A6C9098C87D864F37E548904498175D0011B3AEA653DDDFF929472153F38-1, 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-2, 14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-4, A6C9098C87D864F37E548904498175D0011B3AEA653DDDFF929472153F38-4, 08014DEDB60E9C22E71B2C38A3C3114BCDE9B3832519AC83FBED00618263-1) (kafka.server.ReplicaFetcherManager)
kafka1-1  | [2026-03-17 17:16:29,787] INFO [ReplicaFetcherManager on broker 2] Removed fetcher for partitions Set(7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-9, 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-6, 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-5, 29110F40E5E700443429C5568DF3A867AC19F569E6FBD133F28EFC9EA3E4-0, 14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-2, 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-3, 0C8EBFF3145BCEF7762EFC2AB892F378A3BC457D99BBB98E86FD20BC2E23-0, 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-0, 08014DEDB60E9C22E71B2C38A3C3114BCDE9B3832519AC83FBED00618263-7, 08014DEDB60E9C22E71B2C38A3C3114BCDE9B3832519AC83FBED00618263-9, 14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-5, A6C9098C87D864F37E548904498175D0011B3AEA653DDDFF929472153F38-3, 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-0, A6C9098C87D864F37E548904498175D0011B3AEA653DDDFF929472153F38-2, 934C0F984721F3078CFBAAD664D4E07922534D7164B0432112A1A02C8372-0, 08014DEDB60E9C22E71B2C38A3C3114BCDE9B3832519AC83FBED00618263-2, 08014DEDB60E9C22E71B2C38A3C3114BCDE9B3832519AC83FBED00618263-3) (kafka.server.ReplicaFetcherManager)
kafka2-1  | [2026-03-17 17:16:29,787] INFO [ReplicaFetcherManager on broker 3] Removed fetcher for partitions Set(7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-7, 14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-0, 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-7, 29110F40E5E700443429C5568DF3A867AC19F569E6FBD133F28EFC9EA3E4-1, 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-4, 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-5, 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-1, 0F318C9B85CD1108E629A5208DC18438B638580844F72A5F34CE1A14D3A5-0, 08014DEDB60E9C22E71B2C38A3C3114BCDE9B3832519AC83FBED00618263-5, 08014DEDB60E9C22E71B2C38A3C3114BCDE9B3832519AC83FBED00618263-8, 14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-3, A6C9098C87D864F37E548904498175D0011B3AEA653DDDFF929472153F38-0, 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-1, 08014DEDB60E9C22E71B2C38A3C3114BCDE9B3832519AC83FBED00618263-0) (kafka.server.ReplicaFetcherManager)
kafka1-1  | [2026-03-17 17:16:29,789] INFO [LogLoader partition=7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-9, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka3-1  | [2026-03-17 17:16:29,789] INFO [LogLoader partition=7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-8, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka3-1  | [2026-03-17 17:16:29,790] INFO Created log for partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-8 in /tmp/kafka-logs/7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-8 with properties {} (kafka.log.LogManager)
kafka1-1  | [2026-03-17 17:16:29,790] INFO Created log for partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-9 in /tmp/kafka-logs/7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-9 with properties {} (kafka.log.LogManager)
kafka2-1  | [2026-03-17 17:16:29,790] INFO [LogLoader partition=7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-7, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka2-1  | [2026-03-17 17:16:29,791] INFO Created log for partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-7 in /tmp/kafka-logs/7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-7 with properties {} (kafka.log.LogManager)
kafka1-1  | [2026-03-17 17:16:29,796] INFO [Partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-9 broker=2] No checkpointed highwatermark is found for partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-9 (kafka.cluster.Partition)
kafka3-1  | [2026-03-17 17:16:29,796] INFO [Partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-8 broker=4] No checkpointed highwatermark is found for partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-8 (kafka.cluster.Partition)
kafka3-1  | [2026-03-17 17:16:29,796] INFO [Partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-8 broker=4] Log loaded for partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-8 with initial high watermark 0 (kafka.cluster.Partition)
kafka1-1  | [2026-03-17 17:16:29,796] INFO [Partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-9 broker=2] Log loaded for partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-9 with initial high watermark 0 (kafka.cluster.Partition)
kafka2-1  | [2026-03-17 17:16:29,797] INFO [Partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-7 broker=3] No checkpointed highwatermark is found for partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-7 (kafka.cluster.Partition)
kafka2-1  | [2026-03-17 17:16:29,797] INFO [Partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-7 broker=3] Log loaded for partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-7 with initial high watermark 0 (kafka.cluster.Partition)
kafka1-1  | [2026-03-17 17:16:29,801] INFO [LogLoader partition=7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-6, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka3-1  | [2026-03-17 17:16:29,801] INFO [LogLoader partition=1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-6, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka3-1  | [2026-03-17 17:16:29,802] INFO Created log for partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-6 in /tmp/kafka-logs/1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-6 with properties {} (kafka.log.LogManager)
kafka3-1  | [2026-03-17 17:16:29,802] INFO [Partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-6 broker=4] No checkpointed highwatermark is found for partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-6 (kafka.cluster.Partition)
kafka3-1  | [2026-03-17 17:16:29,802] INFO [Partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-6 broker=4] Log loaded for partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-6 with initial high watermark 0 (kafka.cluster.Partition)
