kafka3-1  | [2026-03-17 06:28:20,573] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Computed a new target assignment for epoch 2 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,576] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Member 1f87f9d6-de54-4c44-b8e9-1e394b313afb joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,576] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Bumped group epoch to 3 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,576] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Computed a new target assignment for epoch 3 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,586] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Member 80905b5e-8b02-4073-ab9f-77936a995680 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,587] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Bumped group epoch to 4 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,587] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Computed a new target assignment for epoch 4 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,508] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Member 1dcde436-69ac-465a-8ed9-7cc0617f2825 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,508] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Bumped group epoch to 1 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,509] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Computed a new target assignment for epoch 1 with 'uniform' assignor in 1ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,517] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Member 9f789f46-82dd-4641-849f-9f3b95e17b52 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,517] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Bumped group epoch to 2 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,517] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Computed a new target assignment for epoch 2 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,525] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Member f2f6ec3f-000f-4975-84a1-e701733463c7 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,525] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Bumped group epoch to 3 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,525] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Computed a new target assignment for epoch 3 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,527] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Member b93a376c-6aae-4130-919f-db05f9e72fc1 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,527] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Bumped group epoch to 4 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,527] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Computed a new target assignment for epoch 4 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,558] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Member 6c0d2355-aae9-4c7d-a42e-ec6e4e3c64ac joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,558] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Bumped group epoch to 5 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,559] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Computed a new target assignment for epoch 5 with 'uniform' assignor in 1ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:22,853] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=23] [GroupId 7CC4_SimulatorGroup2] Member 91070a32-fea9-4203-b1af-e162a7e6f9c8 fenced from the group because the member session expired. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:22,854] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=23] [GroupId 7CC4_SimulatorGroup2] Bumped group epoch to 8 with metadata hash 0. (org.apache.kafka.coordinator.group.GroupMetadataManager)
