kafka2-1  | [2026-03-17 09:31:56,542] INFO [LocalLog partition=9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-3, dir=/tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-3] Deleting segment files LogSegment(baseOffset=0, size=17043825, lastModifiedTime=1773736255872, largestRecordTimestamp=1773736255789) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 09:31:56,543] INFO Deleted offset index /tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-7/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 09:31:56,543] INFO Deleted time index /tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-7/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 09:31:56,544] INFO Deleted log /tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-3/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 09:31:56,545] INFO Deleted log /tmp/kafka-logs/12BE076FEFE607E99A7FFE332DC66243DCEC5D3ECA4F18164871F09420D1-1/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 09:31:56,545] INFO Deleted offset index /tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-3/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 09:31:56,545] INFO Deleted time index /tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-3/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 09:31:56,545] INFO Deleted offset index /tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-4/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 09:31:56,546] INFO Deleted time index /tmp/kafka-logs/12BE076FEFE607E99A7FFE332DC66243DCEC5D3ECA4F18164871F09420D1-0/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 09:31:56,546] INFO Deleted offset index /tmp/kafka-logs/12BE076FEFE607E99A7FFE332DC66243DCEC5D3ECA4F18164871F09420D1-1/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 09:31:56,546] INFO Deleted time index /tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-4/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 09:31:56,546] INFO Deleted time index /tmp/kafka-logs/12BE076FEFE607E99A7FFE332DC66243DCEC5D3ECA4F18164871F09420D1-1/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 09:31:56,547] INFO [LocalLog partition=9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-6, dir=/tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-6] Deleting segment files LogSegment(baseOffset=0, size=17186467, lastModifiedTime=1773736255947, largestRecordTimestamp=1773736255919) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 09:31:56,547] INFO Deleted log /tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-6/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
